ProductID,ProductPhotoID,Primary,ModifiedDate
1,1,True,2008-03-31
2,1,True,2008-03-31
3,1,True,2008-03-31
4,1,True,2008-03-31
316,1,True,2008-03-31
317,1,True,2008-03-31
318,1,True,2008-03-31
319,1,True,2008-03-31
320,1,True,2008-03-31
321,1,True,2008-03-31
322,1,True,2008-03-31
323,1,True,2008-03-31
324,1,True,2008-03-31
325,1,True,2008-03-31
326,1,True,2008-03-31
327,1,True,2008-03-31
328,1,True,2008-03-31
329,1,True,2008-03-31
330,1,True,2008-03-31
331,1,True,2008-03-31
332,160,True,2008-03-31
341,1,True,2008-03-31
342,1,True,2008-03-31
343,1,True,2008-03-31
344,1,True,2008-03-31
345,1,True,2008-03-31
346,1,True,2008-03-31
347,1,True,2008-03-31
348,1,True,2008-03-31
349,1,True,2008-03-31
350,1,True,2008-03-31
351,1,True,2008-03-31
352,1,True,2008-03-31
355,1,True,2008-03-31
356,1,True,2008-03-31
357,1,True,2008-03-31
358,1,True,2008-03-31
359,1,True,2008-03-31
360,1,True,2008-03-31
361,1,True,2008-03-31
362,1,True,2008-03-31
363,1,True,2008-03-31
364,1,True,2008-03-31
365,1,True,2008-03-31
366,1,True,2008-03-31
367,1,True,2008-03-31
368,1,True,2008-03-31
369,1,True,2008-03-31
370,1,True,2008-03-31
371,1,True,2008-03-31
372,1,True,2008-03-31
373,1,True,2008-03-31
374,1,True,2008-03-31
375,1,True,2008-03-31
376,1,True,2008-03-31
377,1,True,2008-03-31
378,1,True,2008-03-31
379,1,True,2008-03-31
380,1,True,2008-03-31
381,1,True,2008-03-31
382,1,True,2008-03-31
383,1,True,2008-03-31
384,1,True,2008-03-31
385,1,True,2008-03-31
386,1,True,2008-03-31
387,1,True,2008-03-31
388,1,True,2008-03-31
389,1,True,2008-03-31
390,1,True,2008-03-31
391,1,True,2008-03-31
392,1,True,2008-03-31
393,1,True,2008-03-31
394,1,True,2008-03-31
395,1,True,2008-03-31
396,1,True,2008-03-31
397,1,True,2008-03-31
398,1,True,2008-03-31
399,1,True,2008-03-31
400,1,True,2008-03-31
401,1,True,2008-03-31
402,1,True,2008-03-31
403,1,True,2008-03-31
404,1,True,2008-03-31
405,1,True,2008-03-31
406,1,True,2008-03-31
407,1,True,2008-03-31
408,1,True,2008-03-31
409,1,True,2008-03-31
410,1,True,2008-03-31
411,1,True,2008-03-31
412,1,True,2008-03-31
413,1,True,2008-03-31
414,1,True,2008-03-31
415,1,True,2008-03-31
416,1,True,2008-03-31
417,1,True,2008-03-31
418,1,True,2008-03-31
419,1,True,2008-03-31
420,1,True,2008-03-31
421,1,True,2008-03-31
422,1,True,2008-03-31
423,1,True,2008-03-31
424,1,True,2008-03-31
425,1,True,2008-03-31
426,1,True,2008-03-31
427,1,True,2008-03-31
428,1,True,2008-03-31
429,1,True,2008-03-31
430,1,True,2008-03-31
431,1,True,2008-03-31
432,1,True,2008-03-31
433,1,True,2008-03-31
434,1,True,2008-03-31
435,1,True,2008-03-31
436,1,True,2008-03-31
437,1,True,2008-03-31
438,1,True,2008-03-31
439,1,True,2008-03-31
440,1,True,2008-03-31
441,1,True,2008-03-31
442,1,True,2008-03-31
443,1,True,2008-03-31
444,1,True,2008-03-31
