AverageRate,CurrencyID,CurrencyDate,EndOfDayRate,CurrencyKey,DateKey
1.000100016593933,ARS,2011-03-03,0.9996001720428467,3,
1.000100016593933,ARS,2011-03-04,1.001001000404358,3,
1.0002000331878662,ARS,2011-03-05,0.9998999834060669,3,
1.0002000331878662,ARS,2011-03-06,1.000400185585022,3,
1.000500202178955,ARS,2011-03-07,0.9998999834060669,3,
1.000500202178955,ARS,2011-03-08,1.001001000404358,3,
1.000500202178955,ARS,2011-03-09,1.0,3,
1.000100016593933,ARS,2011-03-10,1.000400185585022,3,
1.0002000331878662,ARS,2011-03-11,0.9998999834060669,3,
1.0002000331878662,ARS,2011-03-12,1.0011012554168701,3,
1.000100016593933,ARS,2011-03-03,0.9996001720428467,3,
1.000100016593933,ARS,2011-03-04,1.001001000404358,3,
1.0002000331878662,ARS,2011-03-05,0.9998999834060669,3,
1.0002000331878662,ARS,2011-03-06,1.000400185585022,3,
1.000500202178955,ARS,2011-03-07,0.9998999834060669,3,
1.000500202178955,ARS,2011-03-08,1.001001000404358,3,
1.000500202178955,ARS,2011-03-09,1.0,3,
1.000100016593933,ARS,2011-03-10,1.000400185585022,3,
1.0002000331878662,ARS,2011-03-11,0.9998999834060669,3,
1.0002000331878662,ARS,2011-03-12,1.0011012554168701,3,
1.000100016593933,ARS,2011-03-03,0.9996001720428467,3,
1.000100016593933,ARS,2011-03-04,1.001001000404358,3,
1.0002000331878662,ARS,2011-03-05,0.9998999834060669,3,
1.0002000331878662,ARS,2011-03-06,1.000400185585022,3,
1.000500202178955,ARS,2011-03-07,0.9998999834060669,3,
1.000500202178955,ARS,2011-03-08,1.001001000404358,3,
1.000500202178955,ARS,2011-03-09,1.0,3,
1.000100016593933,ARS,2011-03-10,1.000400185585022,3,
1.0002000331878662,ARS,2011-03-11,0.9998999834060669,3,
1.0002000331878662,ARS,2011-03-12,1.0011012554168701,3,
1.000100016593933,ARS,2011-03-03,0.9996001720428467,3,
1.000100016593933,ARS,2011-03-04,1.001001000404358,3,
1.0002000331878662,ARS,2011-03-05,0.9998999834060669,3,
1.0002000331878662,ARS,2011-03-06,1.000400185585022,3,
1.000500202178955,ARS,2011-03-07,0.9998999834060669,3,
1.000500202178955,ARS,2011-03-08,1.001001000404358,3,
1.000500202178955,ARS,2011-03-09,1.0,3,
1.000100016593933,ARS,2011-03-10,1.000400185585022,3,
1.0002000331878662,ARS,2011-03-11,0.9998999834060669,3,
1.0002000331878662,ARS,2011-03-12,1.0011012554168701,3,
1.000100016593933,ARS,2011-03-03,0.9996001720428467,3,
1.000100016593933,ARS,2011-03-04,1.001001000404358,3,
1.0002000331878662,ARS,2011-03-05,0.9998999834060669,3,
1.0002000331878662,ARS,2011-03-06,1.000400185585022,3,
1.000500202178955,ARS,2011-03-07,0.9998999834060669,3,
1.000500202178955,ARS,2011-03-08,1.001001000404358,3,
1.000500202178955,ARS,2011-03-09,1.0,3,
1.000100016593933,ARS,2011-03-10,1.000400185585022,3,
1.0002000331878662,ARS,2011-03-11,0.9998999834060669,3,
1.0002000331878662,ARS,2011-03-12,1.0011012554168701,3,
