Currency,KeyForDate,MeanRate,EODRate,Date
3,20101229,1.0,0.9998000399920021,2010-12-29
3,20101230,1.0,1.0009008107296602,2010-12-30
3,20101231,1.0,0.9996001599360259,2010-12-31
3,20110101,1.0,1.0,2011-01-01
3,20110102,1.0,0.9996001599360259,2011-01-02
3,20110103,1.0,1.0005002501250602,2011-01-03
3,20110104,1.0,0.9995002498750619,2011-01-04
3,20110105,1.0,1.000200040008,2011-01-05
3,20110106,1.0,0.999200639488409,2011-01-06
3,20110107,1.0,1.000200040008,2011-01-07
3,20110108,1.0,0.9996001599360259,2011-01-08
3,20110109,1.0,1.0009008107296602,2011-01-09
3,20110110,1.0,0.9996001599360259,2011-01-10
3,20110111,1.0,1.0008006405124101,2011-01-11
3,20110112,1.0,0.99930048965724,2011-01-12
3,20110113,1.0,1.001001001001,2011-01-13
3,20110114,1.0,0.99930048965724,2011-01-14
3,20110115,1.0,1.0009008107296602,2011-01-15
3,20110116,1.0,0.999900009999,2011-01-16
3,20110117,1.0,1.0007004903432402,2011-01-17
3,20110118,1.0,0.9996001599360259,2011-01-18
3,20110119,1.0,1.0005002501250602,2011-01-19
3,20110120,1.0,0.9996001599360259,2011-01-20
3,20110121,1.0,1.001001001001,2011-01-21
3,20110122,1.0,1.0,2011-01-22
3,20110123,1.00040016006403,1.00110121133247,2011-01-23
3,20110124,1.00040016006403,1.00030009002701,2011-01-24
3,20110125,1.00040016006403,1.0007004903432402,2011-01-25
3,20110126,1.00040016006403,0.9998000399920021,2011-01-26
3,20110127,1.00040016006403,1.001001001001,2011-01-27
3,20110128,1.00040016006403,0.999900009999,2011-01-28
3,20110129,1.00040016006403,1.00110121133247,2011-01-29
3,20110130,1.00040016006403,0.9996001599360259,2011-01-30
3,20110131,1.00040016006403,1.001001001001,2011-01-31
3,20110201,1.00040016006403,1.00030009002701,2011-02-01
3,20110202,1.00040016006403,1.0009008107296602,2011-02-02
3,20110203,1.00040016006403,0.9996001599360259,2011-02-03
3,20110204,1.00040016006403,1.0009008107296602,2011-02-04
3,20110205,1.00040016006403,1.0,2011-02-05
3,20110206,1.00040016006403,1.0007004903432402,2011-02-06
